I think you are now ready., neg,1
I explore; aimless and in no hurry to get anywhere; surrounded by high palms., neg,1
Waterfalls cascade all around., neg,1
Bananas hang from low branches., neg,1
Then suddenly; emerging from one of the myriad pools around me is a vast dragon; so long that by the time its head plunges into a distant lake; its tail is only just emerging from the pond., pos,1
I leap off a high ledge and paraglide down; glimpsing a distant stable below., neg,0.8
Here I land and begin conversing with the locals; who tell me stories of the surrounding area; dropping little hints and clues about where I might want to go next., neg,1
Maybe I'll follow those; or maybe I'll just., neg,1
do something else., neg,1
You can go anywhere and do anything in The Legend of Zelda: Breath of the Wild., neg,1
You might not be ready for what you find; but there's nothing stopping you from trying., neg,1
You might discover along the way that you need better provisions---outfits that ward against heat or cold; for instance; or potions and meals that do the same., neg,1
Some powers you find later into the game may help you traverse the world more easily or quickly; but after the game's opening segment; there's nothing gating you off from exploring every last inch of the massive world spread out before you., neg,1
That distant shrine overlooking the sea?, pos,1
Go there., neg,1
The only question is how best to make your journey., pos,0.6
That lava-spewing volcano in the distance?, neg,1
Better dress appropriately; or at least find some fire elixirs., neg,1
Fortunately; if you talk to everyone and do the little tasks asked of you; you'll probably find a fire elixir or two along the way., neg,1
Or you can just make one yourself., neg,1
The Legend Of Zelda: Breath Of The Wild isn't just the best Zelda game I've ever played., pos,1
It's one of the best video games I've ever played., neg,1
Period., neg,1
It's unflinchingly ambitious and tirelessly innovative; and yet it feels like the natural culmination of decades of game design experience rolled into one big; awe-inspiring experience., pos,1
That it borrows from so many other open-world games; from Far Cry to Skyrim doesn't change the fact: What Nintendo has done here is something incredibly special., neg,0.8
The entire world of Breath of the Wild is a carefully crafted; carefully designed open-world puzzle., pos,1
The shrines and dungeons that you encounter offer their own more distilled and focused puzzles; each with its own creative twist; but the world itself is not just open for openness' sake., pos,1
You don't simply trudge across big open spaces., pos,1
Everywhere you go there's something to explore; some incredible discovery to make., pos,1
There's a story here; of course; which you uncover as you play in a totally open-ended; non-linear fashion., pos,1
But the backdrop to that story is your own adventure; and Nintendo uses organic; emergent storytelling in one of the most effective ways I've ever seen in a game., pos,0.8
The stories you tell your friends about this game will be your own; unique and fascinating and sometimes funny; too., pos,1
There's the time I found a massive ogre of some sort sleeping in a bog; and left him alone for fear he'd crush me., neg,1
Later; I found another one; far below a giant hole in the ground and avoided him; too., neg,1
Then I let my son play for a few minutes and he stumbled across a third., neg,1
The massive beast was sleeping atop a huge mound; surrounded by smaller minions., pos,1
